seed, good, bad, neutral, selection, success
2791,6,1,0,Lexicase,0
2151,5,5,0,Eco-EA,1
2550,1,0,0,Eco-EA,0
2878,4,6,0,Lexicase,0
2744,7,1,0,Lexicase,0
3234,0,8,0,Lexicase,0
3735,2,3,0,Tournament,0
3364,8,1,0,Tournament,0
2183,5,2,0,Eco-EA,1
3616,3,6,0,Tournament,0
3216,0,10,0,Lexicase,0
3809,1,6,0,Tournament,0
2295,3,6,0,Eco-EA,1
2420,2,3,0,Eco-EA,0
3921,0,5,0,Tournament,0
2376,2,7,0,Eco-EA,1
2206,5,0,0,Eco-EA,1
3025,2,8,0,Lexicase,0
2189,5,2,0,Eco-EA,1
3803,1,6,0,Tournament,0
2687,9,0,0,Lexicase,1
2872,4,6,0,Lexicase,0
3485,5,4,0,Tournament,0
2577,0,8,0,Eco-EA,0
3043,2,6,0,Lexicase,0
3510,5,2,0,Tournament,0
2967,3,5,0,Lexicase,0
2314,3,4,0,Eco-EA,0
2435,2,1,0,Eco-EA,0
3759,2,1,0,Tournament,0
3427,6,4,0,Tournament,0
2328,3,3,0,Eco-EA,1
3350,9,0,0,Tournament,0
3091,2,1,0,Lexicase,0
2555,0,10,0,Eco-EA,0
3258,0,6,0,Lexicase,0
3409,7,1,0,Tournament,0
3642,3,3,0,Tournament,1
2984,3,3,0,Lexicase,0
2726,7,3,0,Lexicase,0
3753,2,1,0,Tournament,0
2075,7,2,0,Eco-EA,1
2322,3,3,0,Eco-EA,0
2821,5,4,0,Lexicase,0
3403,7,1,0,Tournament,0
3648,3,3,0,Tournament,0
3975,0,0,0,Tournament,0
3252,0,6,0,Lexicase,0
3595,4,0,0,Tournament,0
3049,2,6,0,Lexicase,0
2255,4,2,0,Eco-EA,1
3749,2,2,0,Tournament,0
2604,0,5,0,Eco-EA,0
3956,0,2,0,Tournament,0
2940,4,0,0,Lexicase,1
2937,4,0,0,Lexicase,1
2418,2,3,0,Eco-EA,0
3055,2,5,0,Lexicase,0
2272,4,0,0,Eco-EA,1
2486,1,6,0,Eco-EA,0
2423,2,2,0,Eco-EA,0
3875,0,10,0,Tournament,0
3561,4,3,0,Tournament,0
3559,4,4,0,Tournament,0
2043,8,1,0,Eco-EA,1
3087,2,2,0,Lexicase,0
2087,7,1,0,Eco-EA,1
3275,0,4,0,Lexicase,0
2638,0,2,0,Eco-EA,0
3553,4,4,0,Tournament,0
2049,8,1,0,Eco-EA,1
3885,0,9,0,Tournament,0
2632,0,2,0,Eco-EA,0
3296,0,2,0,Lexicase,0
3743,2,2,0,Tournament,0
2581,0,7,0,Eco-EA,0
2180,5,3,0,Eco-EA,1
3661,3,1,0,Tournament,0
2412,2,3,0,Eco-EA,0
3064,2,4,0,Lexicase,0
2429,2,2,0,Eco-EA,0
2278,4,0,0,Eco-EA,1
3902,0,7,0,Tournament,0
2787,6,2,0,Lexicase,0
3001,3,1,0,Lexicase,0
2226,4,5,0,Eco-EA,1
3819,1,5,0,Tournament,0
2980,3,4,0,Lexicase,0
3535,4,6,0,Tournament,0
2195,5,1,0,Eco-EA,1
3317,0,0,0,Lexicase,0
2664,10,0,0,Lexicase,1
2441,2,0,0,Eco-EA,0
2001,10,0,0,Eco-EA,1
2507,1,4,0,Eco-EA,0
3037,2,7,0,Lexicase,0
3326,10,0,0,Tournament,0
3171,1,3,0,Lexicase,0
2364,2,8,0,Eco-EA,0
3040,2,7,0,Lexicase,0
2764,6,4,0,Lexicase,0
2101,6,4,0,Eco-EA,1
3908,0,7,0,Tournament,0
3635,3,4,0,Tournament,0
3260,0,6,0,Lexicase,0
2691,8,2,0,Lexicase,0
3106,2,0,0,Lexicase,1
3813,1,5,0,Tournament,0
3265,0,5,0,Lexicase,0
2628,0,3,0,Eco-EA,0
3573,4,2,0,Tournament,0
3079,2,3,0,Lexicase,0
3682,2,8,0,Tournament,1
2053,8,0,0,Eco-EA,1
2549,1,0,0,Eco-EA,0
2097,7,0,0,Eco-EA,1
2478,1,7,0,Eco-EA,0
2927,4,1,0,Lexicase,0
3679,3,0,0,Tournament,0
3944,0,3,0,Tournament,0
2262,4,1,0,Eco-EA,1
3866,1,0,0,Tournament,0
3810,1,6,0,Tournament,0
2614,0,4,0,Eco-EA,0
3673,3,0,0,Tournament,0
3460,6,1,0,Tournament,0
2472,1,7,0,Eco-EA,0
2268,4,1,0,Eco-EA,1
2591,0,6,0,Eco-EA,1
3286,0,3,0,Lexicase,0
2190,5,2,0,Eco-EA,1
3855,1,1,0,Tournament,0
2145,6,0,0,Eco-EA,1
3541,4,5,0,Tournament,0
2622,0,3,0,Eco-EA,0
3579,4,2,0,Tournament,0
3688,2,8,0,Tournament,0
3135,1,7,0,Lexicase,0
3073,2,3,0,Lexicase,0
2543,1,0,0,Eco-EA,0
3897,0,8,0,Tournament,1
2405,2,4,0,Eco-EA,0
2059,8,0,0,Eco-EA,1
2842,5,2,0,Lexicase,0
2394,2,5,0,Eco-EA,0
3307,0,1,0,Lexicase,0
2580,0,8,0,Eco-EA,0
3185,1,2,0,Lexicase,0
3509,5,2,0,Tournament,0
3794,1,7,0,Tournament,0
3349,9,0,0,Tournament,0
2521,1,2,0,Eco-EA,0
2236,4,4,0,Eco-EA,1
3157,1,5,0,Lexicase,0
3410,7,1,0,Tournament,0
3448,6,2,0,Tournament,0
2779,6,3,0,Lexicase,0
3392,7,2,0,Tournament,0
2127,6,2,0,Eco-EA,1
3833,1,3,0,Tournament,0
3011,3,0,0,Lexicase,1
3705,2,6,0,Tournament,1
3166,1,4,0,Lexicase,0
3343,9,0,0,Tournament,0
2031,8,2,0,Eco-EA,1
3627,3,5,0,Tournament,0
2773,6,3,0,Lexicase,0
3442,6,2,0,Tournament,0
3355,8,2,0,Tournament,0
2116,6,3,0,Eco-EA,1
2804,6,0,0,Lexicase,1
3398,7,2,0,Tournament,0
3839,1,3,0,Tournament,0
2848,5,2,0,Lexicase,0
3503,5,2,0,Tournament,0
3050,2,6,0,Lexicase,0
2854,5,1,0,Lexicase,0
3376,8,0,0,Tournament,0
3461,6,0,0,Tournament,0
2382,2,6,0,Eco-EA,0
3786,1,8,0,Tournament,0
3750,2,2,0,Tournament,0
3726,2,4,0,Tournament,0
3400,7,2,0,Tournament,0
3193,1,1,0,Lexicase,0
3458,6,1,0,Tournament,0
3939,0,4,0,Tournament,0
3604,3,7,0,Tournament,0
2540,1,1,0,Eco-EA,0
2537,1,1,0,Eco-EA,0
2754,7,0,0,Lexicase,1
3224,0,9,0,Lexicase,0
3141,1,6,0,Lexicase,0
3519,5,1,0,Tournament,0
2673,9,1,0,Lexicase,1
2131,6,1,0,Eco-EA,1
2016,9,1,0,Eco-EA,1
2050,8,1,0,Eco-EA,1
2211,4,6,0,Eco-EA,1
2027,9,0,0,Eco-EA,1
2679,9,1,0,Lexicase,1
3513,5,1,0,Tournament,0
3715,2,5,0,Tournament,0
2177,5,3,0,Eco-EA,1
2388,2,6,0,Eco-EA,0
2865,5,0,0,Lexicase,1
3199,1,1,0,Lexicase,0
3452,6,1,0,Tournament,0
2285,3,7,0,Eco-EA,1
2430,2,2,0,Eco-EA,1
3933,0,4,0,Tournament,0
3116,1,9,0,Lexicase,0
3335,9,1,0,Tournament,0
3248,0,7,0,Lexicase,0
3434,6,3,0,Tournament,0
2338,3,2,0,Eco-EA,0
2567,0,9,0,Eco-EA,0
2977,3,4,0,Lexicase,0
2304,3,5,0,Eco-EA,0
3479,5,5,0,Tournament,0
2451,1,9,0,Eco-EA,0
3496,5,3,0,Tournament,0
3587,4,1,0,Tournament,0
2245,4,3,0,Eco-EA,1
3473,5,5,0,Tournament,0
2836,5,3,0,Lexicase,0
3242,0,7,0,Lexicase,0
3127,1,8,0,Lexicase,0
2994,3,2,0,Lexicase,0
3967,0,1,0,Tournament,0
2736,7,2,0,Lexicase,0
3411,7,0,0,Tournament,0
2065,7,3,0,Eco-EA,1
2332,3,2,0,Eco-EA,0
3845,1,2,0,Tournament,0
2800,6,1,0,Lexicase,0
3697,2,7,0,Tournament,0
3332,9,1,0,Tournament,0
3111,1,9,0,Lexicase,0
3848,1,2,0,Tournament,0
2999,3,2,0,Lexicase,0
2068,7,3,0,Eco-EA,1
3433,6,3,0,Tournament,0
3657,3,2,0,Tournament,0
2303,3,5,0,Eco-EA,1
2670,10,0,0,Lexicase,1
2370,2,8,0,Eco-EA,0
2248,4,3,0,Eco-EA,1
3491,5,3,0,Tournament,0
2456,1,9,0,Eco-EA,0
2770,6,4,0,Lexicase,0
2309,3,5,0,Eco-EA,1
3474,5,5,0,Tournament,0
2907,4,3,0,Lexicase,0
2242,4,3,0,Eco-EA,1
2831,5,3,0,Lexicase,0
2467,1,8,0,Eco-EA,0
3245,0,7,0,Lexicase,0
3360,8,2,0,Tournament,0
3338,9,1,0,Tournament,0
3842,1,2,0,Tournament,0
2335,3,2,0,Eco-EA,0
3416,7,0,0,Tournament,0
2062,7,3,0,Eco-EA,1
3439,6,3,0,Tournament,0
2731,7,2,0,Lexicase,0
2993,3,2,0,Lexicase,0
2868,5,0,0,Lexicase,1
2385,2,6,0,Eco-EA,0
3781,1,8,0,Tournament,0
3718,2,5,0,Tournament,0
3466,6,0,0,Tournament,0
2853,5,1,0,Lexicase,0
3371,8,0,0,Tournament,0
3603,3,7,0,Tournament,0
2288,3,7,0,Eco-EA,0
3194,1,1,0,Lexicase,0
3070,2,4,0,Lexicase,0
3721,2,4,0,Tournament,0
3146,1,6,0,Lexicase,0
3527,5,0,0,Tournament,0
3223,0,9,0,Lexicase,0
2753,7,0,0,Lexicase,1
2357,3,0,0,Eco-EA,0
2011,9,1,0,Eco-EA,1
2136,6,1,0,Eco-EA,1
2674,9,1,0,Lexicase,0
2759,7,0,0,Lexicase,1
2216,4,6,0,Eco-EA,1
3229,0,9,0,Lexicase,0
3514,5,1,0,Tournament,0
2862,5,0,0,Lexicase,1
2610,0,5,0,Eco-EA,0
3860,1,1,0,Tournament,0
2859,5,1,0,Lexicase,0
3712,2,5,0,Tournament,0
3609,3,7,0,Tournament,0
3934,0,4,0,Tournament,0
3455,6,1,0,Tournament,0
2282,3,7,0,Eco-EA,1
2393,2,5,0,Eco-EA,0
2845,5,2,0,Lexicase,0
3793,1,7,0,Tournament,0
3182,1,2,0,Lexicase,0
2897,4,4,0,Lexicase,0
3917,0,6,0,Tournament,0
2990,3,3,0,Lexicase,0
2231,4,4,0,Eco-EA,1
2526,1,2,0,Eco-EA,0
3708,2,6,0,Tournament,0
3016,3,0,0,Lexicase,1
3834,1,3,0,Tournament,0
3395,7,2,0,Tournament,0
2647,0,1,0,Eco-EA,0
3358,8,2,0,Tournament,0
2809,6,0,0,Lexicase,1
2517,1,3,0,Eco-EA,0
2036,8,2,0,Eco-EA,1
3344,9,0,0,Tournament,0
3702,2,6,0,Tournament,0
3161,1,4,0,Lexicase,0
2803,6,0,0,Lexicase,1
3352,8,2,0,Tournament,0
2111,6,3,0,Eco-EA,1
2774,6,3,0,Lexicase,0
3445,6,2,0,Tournament,0
2399,2,5,0,Eco-EA,0
3799,1,7,0,Tournament,0
3504,5,2,0,Tournament,0
3207,1,0,0,Lexicase,0
3188,1,2,0,Lexicase,0
3574,4,2,0,Tournament,0
2148,6,0,0,Eco-EA,1
3262,0,5,0,Lexicase,0
2054,8,0,0,Eco-EA,1
2707,8,1,0,Lexicase,0
2408,2,4,0,Eco-EA,0
3138,1,7,0,Lexicase,0
3685,2,8,0,Tournament,0
3861,1,0,0,Tournament,0
2265,4,1,0,Eco-EA,1
3943,0,3,0,Tournament,0
3858,1,1,0,Tournament,0
2613,0,4,0,Eco-EA,0
3780,1,9,0,Tournament,0
2957,3,6,0,Lexicase,0
3370,8,1,0,Tournament,0
2475,1,7,0,Eco-EA,0
3949,0,3,0,Tournament,0
3674,3,0,0,Tournament,0
3852,1,1,0,Tournament,0
3281,0,3,0,Lexicase,0
3720,2,5,0,Tournament,0
2596,0,6,0,Eco-EA,0
2619,0,4,0,Eco-EA,0
3268,0,5,0,Lexicase,0
2625,0,3,0,Eco-EA,0
3546,4,5,0,Tournament,0
2142,6,0,0,Eco-EA,1
2402,2,4,0,Eco-EA,0
2544,1,0,0,Eco-EA,0
3074,2,3,0,Lexicase,0
3132,1,7,0,Lexicase,0
2750,7,1,0,Lexicase,0
2560,0,10,0,Eco-EA,0
3006,3,1,0,Lexicase,0
2657,0,0,0,Eco-EA,0
3827,1,4,0,Tournament,0
3638,3,4,0,Tournament,0
3905,0,7,0,Tournament,0
2887,4,5,0,Lexicase,0
2221,4,5,0,Eco-EA,1
3387,7,3,0,Tournament,0
3532,4,6,0,Tournament,0
2369,2,8,0,Eco-EA,0
2669,10,0,0,Lexicase,1
2769,6,4,0,Lexicase,0
2192,5,1,0,Eco-EA,1
2363,2,8,0,Eco-EA,0
3321,10,0,0,Tournament,0
3176,1,3,0,Lexicase,0
3538,4,6,0,Tournament,0
2006,10,0,0,Eco-EA,1
2310,3,5,0,Eco-EA,0
2446,2,0,0,Eco-EA,0
2260,4,2,0,Eco-EA,1
2663,10,0,0,Lexicase,1
2106,6,4,0,Eco-EA,1
2763,6,4,0,Lexicase,0
2198,5,1,0,Eco-EA,1
3632,3,4,0,Tournament,0
3814,1,5,0,Tournament,0
3101,2,0,0,Lexicase,1
2696,8,2,0,Lexicase,0
3951,0,2,0,Tournament,0
2603,0,5,0,Eco-EA,0
3069,2,4,0,Lexicase,0
2424,2,2,0,Eco-EA,0
2481,1,6,0,Eco-EA,0
2275,4,0,0,Eco-EA,1
3052,2,5,0,Lexicase,0
2044,8,1,0,Eco-EA,1
2717,8,0,0,Lexicase,1
3566,4,3,0,Tournament,0
3872,0,10,0,Tournament,0
3272,0,4,0,Lexicase,0
3888,0,9,0,Tournament,0
3554,4,4,0,Tournament,0
3878,0,10,0,Tournament,0
3230,0,9,0,Lexicase,0
3278,0,4,0,Lexicase,0
2635,0,2,0,Eco-EA,0
3882,0,9,0,Tournament,0
3666,3,1,0,Tournament,0
3744,2,2,0,Tournament,0
2586,0,7,0,Eco-EA,0
3291,0,2,0,Lexicase,0
2609,0,5,0,Eco-EA,0
3063,2,4,0,Lexicase,0
2947,3,7,0,Lexicase,0
3610,3,7,0,Tournament,0
2415,2,3,0,Eco-EA,0
3058,2,5,0,Lexicase,0
3482,5,4,0,Tournament,0
3598,4,0,0,Tournament,0
2497,1,5,0,Eco-EA,0
2432,2,1,0,Eco-EA,0
2313,3,4,0,Eco-EA,0
3044,2,6,0,Lexicase,0
2258,4,2,0,Eco-EA,0
3096,2,1,0,Lexicase,0
2989,3,3,0,Lexicase,0
2078,7,2,0,Eco-EA,1
3978,0,0,0,Tournament,0
3645,3,3,0,Tournament,0
2817,5,5,0,Lexicase,0
2810,6,0,0,Lexicase,1
2552,0,10,0,Eco-EA,0
3767,2,0,0,Tournament,0
2325,3,3,0,Eco-EA,0
2072,7,2,0,Eco-EA,1
3754,2,1,0,Tournament,0
2721,7,3,0,Lexicase,0
2983,3,3,0,Lexicase,0
3255,0,6,0,Lexicase,0
2558,0,10,0,Eco-EA,0
3972,0,0,0,Tournament,0
3404,7,1,0,Tournament,0
2826,5,4,0,Lexicase,0
3592,4,0,0,Tournament,0
3488,5,4,0,Tournament,0
2319,3,4,0,Eco-EA,1
2438,2,1,0,Eco-EA,0
2917,4,2,0,Lexicase,0
2252,4,2,0,Eco-EA,1
2156,5,5,0,Eco-EA,1
2796,6,1,0,Lexicase,0
3233,0,8,0,Lexicase,0
2743,7,1,0,Lexicase,0
2347,3,1,0,Eco-EA,0
3363,8,1,0,Tournament,0
2298,3,6,0,Eco-EA,1
3732,2,3,0,Tournament,0
3060,2,5,0,Lexicase,0
3211,0,10,0,Lexicase,0
3611,3,6,0,Tournament,0
2184,5,2,0,Eco-EA,1
3028,2,8,0,Lexicase,0
3950,0,3,0,Tournament,0
3777,1,9,0,Tournament,0
3369,8,1,0,Tournament,0
2292,3,6,0,Eco-EA,0
3738,2,3,0,Tournament,0
3804,1,6,0,Tournament,0
3022,2,8,0,Lexicase,0
2201,5,0,0,Eco-EA,1
2371,2,7,0,Eco-EA,0
3926,0,5,0,Tournament,0
2167,5,4,0,Eco-EA,1
2749,7,1,0,Lexicase,0
3239,0,8,0,Lexicase,0
2875,4,6,0,Lexicase,0
2256,4,2,0,Eco-EA,1
2499,1,5,0,Eco-EA,0
2913,4,2,0,Lexicase,0
3596,4,0,0,Tournament,0
2822,5,4,0,Lexicase,0
3769,2,0,0,Tournament,0
2650,0,1,0,Eco-EA,0
3251,0,6,0,Lexicase,0
3976,0,0,0,Tournament,0
2819,5,5,0,Lexicase,0
2725,7,3,0,Lexicase,0
2076,7,2,0,Eco-EA,1
2987,3,3,0,Lexicase,0
2321,3,3,0,Eco-EA,1
3098,2,1,0,Lexicase,0
2828,5,4,0,Lexicase,0
3763,2,0,0,Tournament,0
2813,5,5,0,Lexicase,0
3641,3,3,0,Tournament,0
2556,0,10,0,Eco-EA,1
3424,6,4,0,Tournament,0
3092,2,1,0,Lexicase,0
2964,3,5,0,Lexicase,0
2574,0,8,0,Eco-EA,0
2493,1,5,0,Eco-EA,0
2919,4,2,0,Lexicase,0
2436,2,1,0,Eco-EA,0
3210,1,0,0,Lexicase,0
2317,3,4,0,Eco-EA,1
3486,5,4,0,Tournament,0
2871,4,6,0,Lexicase,0
2710,8,1,0,Lexicase,0
2349,3,1,0,Eco-EA,0
2163,5,4,0,Eco-EA,1
2684,9,0,0,Lexicase,1
2798,6,1,0,Lexicase,0
2158,5,5,0,Eco-EA,1
3026,2,8,0,Lexicase,0
3922,0,5,0,Tournament,0
2205,5,0,0,Eco-EA,1
2375,2,7,0,Eco-EA,0
2296,3,6,0,Eco-EA,1
3773,1,9,0,Tournament,0
3615,3,6,0,Tournament,0
3928,0,5,0,Tournament,0
3215,0,10,0,Lexicase,0
3736,2,3,0,Tournament,0
3367,8,1,0,Tournament,0
3779,1,9,0,Tournament,1
2343,3,1,0,Eco-EA,0
3237,0,8,0,Lexicase,0
2747,7,1,0,Lexicase,0
3240,0,8,0,Lexicase,0
2169,5,4,0,Eco-EA,1
2792,6,1,0,Lexicase,0
2152,5,5,0,Eco-EA,1
3105,2,0,0,Lexicase,1
3389,7,3,0,Tournament,0
2692,8,2,0,Lexicase,0
2889,4,5,0,Lexicase,0
3636,3,4,0,Tournament,0
2659,0,0,0,Eco-EA,0
3829,1,4,0,Tournament,0
3008,3,1,0,Lexicase,0
2767,6,4,0,Lexicase,0
2102,6,4,0,Eco-EA,1
2504,1,4,0,Eco-EA,0
2667,10,0,0,Lexicase,1
2002,10,0,0,Eco-EA,1
2442,2,0,0,Eco-EA,0
3325,10,0,0,Tournament,0
3172,1,3,0,Lexicase,0
2367,2,8,0,Eco-EA,0
3034,2,7,0,Lexicase,0
2196,5,1,0,Eco-EA,1
2470,1,8,0,Eco-EA,0
3314,0,0,0,Lexicase,0
2108,6,4,0,Eco-EA,1
2008,10,0,0,Eco-EA,1
2448,2,0,0,Eco-EA,0
2910,4,3,0,Lexicase,0
3536,4,6,0,Tournament,0
3178,1,3,0,Lexicase,0
2698,8,2,0,Lexicase,1
2225,4,5,0,Eco-EA,1
3383,7,3,0,Tournament,0
2883,4,5,0,Lexicase,0
3901,0,7,0,Tournament,0
3002,3,1,0,Lexicase,0
2653,0,0,0,Eco-EA,0
3823,1,4,0,Tournament,0
2784,6,2,0,Lexicase,0
2411,2,3,0,Eco-EA,0
3067,2,4,0,Lexicase,0
2943,3,7,0,Lexicase,0
2582,0,7,0,Eco-EA,0
3295,0,2,0,Lexicase,0
3662,3,1,0,Tournament,0
3886,0,9,0,Tournament,0
2631,0,2,0,Eco-EA,0
3530,5,0,0,Tournament,0
3568,4,3,0,Tournament,0
2719,8,0,0,Lexicase,1
3276,0,4,0,Lexicase,0
2160,5,5,0,Eco-EA,1
3562,4,3,0,Tournament,0
3876,0,10,0,Tournament,0
3084,2,2,0,Lexicase,0
2084,7,1,0,Eco-EA,1
2713,8,0,0,Lexicase,1
2934,4,0,0,Lexicase,1
3056,2,5,0,Lexicase,0
2485,1,6,0,Eco-EA,0
2949,3,7,0,Lexicase,0
2271,4,0,0,Eco-EA,1
2607,0,5,0,Eco-EA,0
2588,0,7,0,Eco-EA,0
3955,0,2,0,Tournament,0
3668,3,1,0,Tournament,0
3203,1,0,0,Lexicase,0
2807,6,0,0,Lexicase,1
3441,6,2,0,Tournament,0
3356,8,2,0,Tournament,0
2115,6,3,0,Eco-EA,1
3770,2,0,0,Tournament,0
2649,0,1,0,Eco-EA,0
3018,3,0,0,Lexicase,1
2032,8,2,0,Eco-EA,1
3420,7,0,0,Tournament,0
3706,2,6,0,Tournament,0
2528,1,2,0,Eco-EA,1
3165,1,4,0,Lexicase,0
3624,3,5,0,Tournament,0
3919,0,6,0,Tournament,0
2899,4,4,0,Lexicase,0
2513,1,3,0,Eco-EA,0
2124,6,2,0,Eco-EA,1
3391,7,2,0,Tournament,0
3012,3,0,0,Lexicase,1
2643,0,1,0,Eco-EA,0
2522,1,2,0,Eco-EA,0
2235,4,4,0,Eco-EA,1
2038,8,2,0,Eco-EA,1
3913,0,6,0,Tournament,0
2893,4,4,0,Lexicase,0
3154,1,5,0,Lexicase,0
2519,1,3,0,Eco-EA,0
3186,1,2,0,Lexicase,0
3209,1,0,0,Lexicase,0
3797,1,7,0,Tournament,0
2460,1,9,0,Eco-EA,0
2841,5,2,0,Lexicase,0
3304,0,1,0,Lexicase,0
2397,2,5,0,Eco-EA,1
3136,1,7,0,Lexicase,0
2220,4,6,0,Eco-EA,1
2406,2,4,0,Eco-EA,0
2709,8,1,0,Lexicase,0
2350,3,1,0,Eco-EA,0
3900,0,8,0,Tournament,0
3894,0,8,0,Tournament,0
2621,0,3,0,Eco-EA,0
2146,6,0,0,Eco-EA,1
3542,4,5,0,Tournament,0
3285,0,3,0,Lexicase,0
2592,0,6,0,Eco-EA,0
3856,1,1,0,Tournament,0
2471,1,7,0,Eco-EA,0
2953,3,6,0,Lexicase,0
2617,0,4,0,Eco-EA,0
2598,0,6,0,Eco-EA,0
2924,4,1,0,Lexicase,0
3947,0,3,0,Tournament,0
2959,3,6,0,Lexicase,0
3865,1,0,0,Tournament,0
2261,4,1,0,Eco-EA,0
